name of product                                                                                                     , price    , how many in stock, description                                                                                                                                                                                                                                                                                                                         , type       , features
Aloe Eva Strengthening Hair Oil With Aloe Vera & Olive Oil 170 Ml ( Special Offer 10 % )                            , LE 56.70 ,                61, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Strengthening Hair Oil with Aloe Vera Extract &amp; Olive Oil offers a deep &amp; intensive treatment that n"  , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Oil With Aloe Vera & Moroccan Argan Oil 170 Ml ( Special Offer 10 % )                   , LE 61.20 ,                 0, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins, deeply nourishes and strengthens hair from root to tip, reducing its fall, promoting healthy growth and revitalizing your hair. Aloe Eva Strengthening Hair Oil, rich with Aloe Vera &amp; Moroccan Argan Oil gives your hair instant shine and frizz"   , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera & Amla Extract 170 Ml ( Special Offer 10 % )                         , LE 56.70 ,                55, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Strengthening Hair Oil with Aloe Vera &amp; AMLA Extracts offers a deep &amp; intensive treatment that nouri"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera 170 Ml                                                               , LE 63.00 ,                91, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reduces hair fall and provides healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Oil offers a deep &amp; intensive treatment that nourishes the scalp &amp; forti"  , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Mask With Aloe Vera & Moroccan Argan Oil 185 Gm                                         , LE 90.00 ,                 0, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins, deeply nourishes and strengthens hair from root to tip, reducing its fall, promoting healthy growth and revitalizing your hair. Aloe Eva Strengthening Hair Mask, rich with Aloe Vera and Moroccan Argan Oil, provides a deep conditioning effect, red"  , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Oil With Aloe Vera & Moroccan Argan Oil 255 Ml ( Special Offer 10 % )                   , LE 76.50 ,                 0, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins, deeply nourishes and strengthens hair from root to tip, reducing its fall, promoting healthy growth and revitalizing your hair. Aloe Eva Strengthening Hair Oil, rich with Aloe Vera &amp; Moroccan Argan Oil gives your hair instant shine and frizz"   , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Oil With Aloe Vera & Moroccan Argan Oil 85 Ml ( Special Offer 10 % )                    , LE 38.70 ,                 0, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins, deeply nourishes and strengthens hair from root to tip, reducing its fall, promoting healthy growth and revitalizing your hair. Aloe Eva Strengthening Hair Oil, rich with Aloe Vera &amp; Moroccan Argan Oil gives your hair instant shine and frizz"   , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera 255 Ml ( Special Offer 10 % )                                        , LE 68.85 ,                 0, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reduces hair fall and provides healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Oil offers a deep &amp; intensive treatment that nourishes the scalp &amp; forti"  , oil        , Aloe Eva; Hair Care
Eva Advanced Care Clinic Forever Long Lengthening Shampoo For Damaged Hair 230 Ml                                   , LE 135.00,                78, "Eva Advanced Care Clinic Castor Oil &amp; Rice Water Forever Long Lengthening Shampoo with Filter Technology helps to prevent harsh minerals and metals, present in tap water, to bind with your hair. It gently cleanses your damaged hair without causing its dryness. This shampoo is made with perfect complementary blend o"  ,            , EVA Advanced Care CLINIC; Hair Care
Eva Advanced Care Clinic Forever Long Lengthening Conditioner For Damaged Hair 230 Ml                               , LE 144.00,                11, "Eva Advanced Care Clinic Castor Oil &amp; Rice Water Forever Long Lengthening Conditioner with Filter Technology helps to prevent harsh minerals and metals, present in tap water, to bind with your hair. It detangles and improves hair shine without any oil residues. This conditioner is made with perfect complementary bl"  ,            , EVA Advanced Care CLINIC; Hair Care
Eva Advanced Care Clinic Growth Perfector Root Recharging Shampoo For Weak & Falling Hair 230 Ml                    , LE 135.00,                33, "Eva Advanced Care Clinic Kopexil, Caffeine &amp; Ginseng Growth Perfector Root Recharging Shampoo with Filter Technology helps to prevent harsh minerals and metals, present in tap water, to bind with your hair. It gently cleanses your weak hair without causing dryness. This shampoo is made with perfect complementary bl"  ,            , EVA Advanced Care CLINIC; Hair Care
Eva Advanced Care Clinic Forever Long Lengthening & Moisturizing Mask For Damaged Hair 200 Gm                       , LE 198.00,                16, "Eva Advanced Care Clinic Castor Oil &amp; Rice Water Forever Long Lengthening &amp; Moisturizing Mask with Filter Technology helps to prevent harsh minerals and metals, present in tap water, to bind with your hair. It deeply moisturizes and strengthens damaged hair. This Mask is made with perfect complementary blend of"  , cream      , EVA Advanced Care CLINIC; Hair Care
Eva Advanced Care Clinic Growth Perfector Root Recharging Ampoules For Weak & Falling Hair 6 Ml × 7 Ampoules        , LE 198.00,                 3, "Eva Advanced Care Clinic 1.5% Kopexil, Caffeine &amp; Ginseng Growth Perfector Root Recharging Ampoules with Filter Technology help to improve hair surface properties and to protect against environmental stress. They help reduce hair loss and promote hair regrowth. These ampoules are made with perfect complementary ble"  ,            , EVA Advanced Care CLINIC; Hair Care
Eva Advanced Care Clinic Growth Perfector Root Recharging Conditioner For Weak & Falling Hair 230 Ml                , LE 144.00,                21, "Eva Advanced Care Clinic Kopexil, Caffeine &amp; Ginseng Growth Perfector Root Recharging Conditioner with Filter Technology helps to prevent harsh minerals and metals, present in tap water, to bind with your hair. It gently softens and nourishes your weak hair. This conditioner is made with perfect complementary blend"  ,            , EVA Advanced Care CLINIC; Hair Care
