transliteration,arabic_script,arabic_alternates,english_meanings,part_of_speech,dialect,gender,plural,plural_arabic,category,notes,verb_forms
achieve,‫ﺣﹷﻘﹽﹷﻖ‬,‫ﻳﹻﺤﹷﻘﹽﹷﻖ‬ | ‫ﻣﹹﺤﹷﻘﹽﹷﻖ‬ | ‫ﺃﻧﺠﹷﺰ‬ | ‫ﻳﹻﻨﺠﹻﺰ‬,achieve,v inf | v p,MS | EG,,,,activity: complete,,p: achieved | pass: achieved
achievement,‫ﺇﻧﺠﺎﹶﺯ‬,‫ﺇﻧﺠﺎﹶﺯﺍﹶﺕ‬,achievement,n s | n m,MS,m,achievements,,activity: complete,,
acid,‫ﺣﹷﻤﻀﻲ‬,,acid,n | n m,EG,m,,,technical: science,,
acidic,,,acidic,adj,,,,,technical: science,,
acidity,‫ﺣﺎﹶﻣﹻﺾ‬,‫ﺣﺎﹶﻣﹻﻀﹷﺔ‬ | ‫ﺣﺎﹶﻣﹻﻀﻴﻦ‬,,adj m,EG,m,,,,,
EN n invar: acidity,‫ﺣﹹﻤﻮﺿﹷﺔ‬,,,n f,MS,f,,,technical: science,,
acknowledge,‫ﺃﻋﺘﹷﺮﹶﻑ‬,‫ﻳﹻﻌﺘﹻﺮﹺﻑ‬ | ‫ﻣﹹﻌﺘﹷﺮﹶﻑ‬,acknowledge,v inf | v p,MS,,,,communication: response,,p: acknowledged | pass: acknowledged
aconite,‫ﺑﻴﺶ‬,,aconite,n s | n m,MS,m,aconites,,environment: plants,,
acorn,‫ﺑﹷﻠﹽﻮﻁ‬,,acorn,n s | n m,MS,m,acorns,,environment: plants,,
acquaint,‫ﻋﹷﺮﹼﹶﻑﺏﹺ‬,‫ﻳﹻﻌﹷﺮﹼﹶﻑﺏﹺ‬ | ‫ﻋﹷﺮﹼﹶﻑ‬,acquaint,v inf | v p,MS,,,,society: friends,,p: acquainted | pass: acquainted
acquaintance,‫ﺇﺗﻌﹷﺮﹼﹶﻑﺏﹺ‬,‫ﻳﹻﺘﻌﹷﺮﹼﹶﻑﺏﹺ‬ | ‫ﻣﹻﺘﻌﹷﺮﹼﹶﻑ‬ | ‫ﻣﹷﻌﺮﹺﻓﹷﺔ‬ | ‫ﻣﹷﻌﺎﹶﺭﹺﻑ‬,acquaintance,n s | v p | n f,EG | MS,f,acquaintances,,society: friends,1) EN v inf: (make so's) acquaintance | 2) person,p: (made so's) acquaintance
acquire,,,acquire,v inf,,,,,possessions: transfer,,p: acquired | pass: acquired
acquisition,‫ﺇﻛﺘﹷﺴﹷﺐ‬,‫ﻳﹻﻜﺘﹻﺴﹻﺐ‬ | ‫ﻣﹹﻜﺘﹷﺴﹻﺐ‬ | ‫ﻛﹻﺴﹻﺐ‬ | ‫ﻳﹻﻜﺴﹷﺐ‬ | ‫ﻛﺎﹶﺳﹻﺐ‬ | ‫ﻣﹷﻜﺴﻮﺏ‬,,v p,MS,,,,,,
EN n s: acquisition,‫ﺇﻛﺘﹻﺴﺎﹶﺏ‬,,,n m,MS,m,acquisitions,,possessions: transfer,,
acquit,‫ﺑﹷﺮﹼﺃ‬,‫ﻳﹻﺒﹷﺮﹼﺃ‬ | ‫ﻣﹹﺒﹷﺮﹼﺃ‬,acquit,v inf | v p,EG,,,,spirit: guilt,,p: acquitted | pass: acquitted
acquittal,‫ﺑﹷﺮﺃﹺﺓﺳﺎﹶﺣﹷﺔ‬,‫ﺗﹷﺒﺮﹺﺋﹷﺔ‬,acquittal,n | n f,EG,f,,,society: law,,
acre,‫ﻓﹷﺪﹼﺍﹶﻥ‬,,acre,n s | n m,MS,m,acres,,quantity: measure,,
acrobat,‫ﺑﹷﻬﻠﹷﻮﺍﹶﻥ‬,,acrobat,n s | n m,MS,m,acrobats,,work: trade,,
across,‫ﻋﹷﺪﹼﻱ‬,‫ﻳﹻﻌﹷﺪﹼﻱ‬,across,prep | adv,EG,,,,movement: position,1) on the opposite side | 2) EN adv: across,
across from,‫ﻗﹹﺼﺎﹶﺩ‬,,across from,prep,EG,,,,movement: position,,
act,‫ﺇﺗﺼﹷﺮﹼﹶﻑ‬,‫ﻳﹻﺘﺼﹷﺮﹼﹶﻑ‬ | ‫ﻣﹹﺘﹷﺼﹷﺮﹼﹶﻑ‬ | ‫ﻋﹷﻤﹷﻞ‬ | ‫ﺃﻋﻤﺎﹶﻝ‬ | ‫ﺗﹷﺼﹷﺮﹼﹶﻑ‬ | ‫ﺗﹷﺼﹷﺮﹼﹶﻓﺎﹶﺕ‬ | ‫ﻣﹷﺜﹽﹻﻞ‬ | ‫ﻳﹻﻤﹷﺜﹽﹻﻞ‬ | ‫ﻣﹹﻤﹷﺜﹽﹻﻞ‬ | ‫ﻳﹻﻌﻤﹻﻞ‬,act,v inf | v p | n m | vi inf | vi p,MS | EG,m,,,activity: do | society: arts | character: character,1) take action | 2) EN n: act | 3) in a play | 4) behave,p: acted | pass: acted
act the fool,‫ﻋﹷﻚﹼ‬,‫ﻳﹻﻌﹹﻚﹼ‬,act the fool,vi inf | vi p,EG,,,,character: sensible,,p: acted the fool | pass: acted the fool
acting,‫ﺗﹷﻤﺜﻴﻞ‬,,acting,n | n m,MS,m,,,society: arts,,
acting gay,‫ﻣﹻﺨﹷﻮﹶﻟﹻﻦ‬,‫ﻣﹻﺨﹷﻮﹶﻟﹻﻨﻴﻦ‬,acting gay,adj | adj m,EG,m,,,people: gender,,
action,‫ﻓﹻﻌﻞ‬,‫ﺃﻓﹻﻌﺎﹶﻝ‬ | ‫ﺗﹷﺼﹷﺮﹼﹶﻑ‬ | ‫ﺗﹷﺼﹷﺮﹼﹶﻓﺎﹶﺕ‬,action,n s | n m,MS | EG,m,actions,,activity: do,,
active,‫ﻧﹹﺸﻴﻂ‬,‫ﻧﹹﺸﻴﻄﹷﺔ‬ | ‫ﻧﹹﺸﹷﻄﺎﹶء‬,active,adj | adj m,MS,m,,,character: energy,,
activity,,,activity,n s,,,activities,,society: leisure,,
actor,‫ﻧﹷﺸﺎﹶﻁ‬,‫ﻧﹷﺸﺎﹶﻃﺎﹶﺕ‬ | ‫ﺃﻧﺸﹻﻄﹷﺔ‬,,n m,MS,m,,,,,
EN n m: actor,‫ﻣﹹﻤﹷﺜﹽﹻﻞ‬,‫ﻣﹹﻤﹷﺜﹽﹻﻠﹷﺔ‬ | ‫ﻣﹹﻤﹷﺜﹽﹻﻠﻴﻦ‬,,n m,MS,m,,,m pl: actors | f pl: actresses | work: profession,f: actress,
EN adj: actual,‫ﺣﺎﹶﻟﻲ‬,‫ﺣﺎﹶﻟﹻﻴﻴﹷﺔ‬ | ‫ﺣﺎﹶﻟﹻﻴﻴﻦ‬ | ‫ﺣﹷﻘﻴﻘﻲ‬ | ‫ﺣﹷﻘﻴﻘﹻﻴﻴﹷﺔ‬ | ‫ﺣﹷﻘﻴﻘﹻﻴﻴﻦ‬,,adj m,MS,m,,,intellect: fact,,
actually,‫ﻓﻲﺍﹺﻟﺤﹷﻘﻴﻘﹷﺔ‬,,actually,adv,MS,,,,intellect: certainty,,
acute,‫ﺣﺎﹶﺩﹼ‬,‫ﺣﹷﺪﹼﹶﺓ‬ | ‫ﺣﹷﺪﹼﻳﻦ‬,acute,adj | adj m,MS,m,,,qualities: important,,
